"","a_total","b_total","sample_size","posterior"
"1",0,1,6,0.7672
"2",0,2,6,0.9031
"3",0,3,6,0.9649
"4",0,4,6,0.9895
"5",0,5,6,0.9983
"6",0,6,6,0.9998
"7",1,2,6,0.7271
"8",1,3,6,0.8687
"9",1,4,6,0.9482
"10",1,5,6,0.9854
"11",1,6,6,0.9983
"12",2,3,6,0.708
"13",2,4,6,0.8559
"14",2,5,6,0.9495
"15",2,6,6,0.9885
"16",3,4,6,0.7003
"17",3,5,6,0.8675
"18",3,6,6,0.9665
"19",4,5,6,0.7223
"20",4,6,6,0.9067
"21",5,6,6,0.7677
"22",0,1,7,0.7646
"23",0,2,7,0.8978
"24",0,3,7,0.9607
"25",0,4,7,0.9871
"26",0,5,7,0.9959
"27",0,6,7,0.9991
"28",0,7,7,0.9999
"29",1,2,7,0.7178
"30",1,3,7,0.8611
"31",1,4,7,0.9412
"32",1,5,7,0.9804
"33",1,6,7,0.9946
"34",1,7,7,0.999
"35",2,3,7,0.6934
"36",2,4,7,0.8499
"37",2,5,7,0.9329
"38",2,6,7,0.9785
"39",2,7,7,0.9973
"40",3,4,7,0.6918
"41",3,5,7,0.8442
"42",3,6,7,0.9413
"43",3,7,7,0.9866
"44",4,5,7,0.6999
"45",4,6,7,0.86
"46",4,7,7,0.9613
"47",5,6,7,0.7181
"48",5,7,7,0.8992
"49",6,7,7,0.7669
"50",0,1,8,0.7633
"51",0,2,8,0.898
"52",0,3,8,0.9595
"53",0,4,8,0.9863
"54",0,5,8,0.996
"55",0,6,8,0.9992
"56",0,7,8,0.9997
"57",0,8,8,1
"58",1,2,8,0.7094
"59",1,3,8,0.8496
"60",1,4,8,0.9339
"61",1,5,8,0.9765
"62",1,6,8,0.9918
"63",1,7,8,0.9986
"64",1,8,8,0.9998
"65",2,3,8,0.6961
"66",2,4,8,0.8266
"67",2,5,8,0.9238
"68",2,6,8,0.9695
"69",2,7,8,0.9928
"70",2,8,8,0.9994
"71",3,4,8,0.6848
"72",3,5,8,0.8255
"73",3,6,8,0.9232
"74",3,7,8,0.9733
"75",3,8,8,0.9957
"76",4,5,8,0.686
"77",4,6,8,0.8355
"78",4,7,8,0.9347
"79",4,8,8,0.9846
"80",5,6,8,0.695
"81",5,7,8,0.8496
"82",5,8,8,0.957
"83",6,7,8,0.7178
"84",6,8,8,0.8974
"85",7,8,8,0.7607
"86",0,1,9,0.7638
"87",0,2,9,0.8909
"88",0,3,9,0.9589
"89",0,4,9,0.9826
"90",0,5,9,0.9952
"91",0,6,9,0.9984
"92",0,7,9,0.9998
"93",0,8,9,1
"94",0,9,9,1
"95",1,2,9,0.7103
"96",1,3,9,0.8493
"97",1,4,9,0.9255
"98",1,5,9,0.9722
"99",1,6,9,0.9887
"100",1,7,9,0.997
"101",1,8,9,0.9997
"102",1,9,9,1
"103",2,3,9,0.6892
"104",2,4,9,0.8213
"105",2,5,9,0.9133
"106",2,6,9,0.9656
"107",2,7,9,0.9868
"108",2,8,9,0.9971
"109",2,9,9,0.9999
"110",3,4,9,0.6719
"111",3,5,9,0.8113
"112",3,6,9,0.9108
"113",3,7,9,0.9655
"114",3,8,9,0.9909
"115",3,9,9,0.9982
"116",4,5,9,0.6677
"117",4,6,9,0.8206
"118",4,7,9,0.913
"119",4,8,9,0.972
"120",4,9,9,0.9959
"121",5,6,9,0.6735
"122",5,7,9,0.8189
"123",5,8,9,0.9275
"124",5,9,9,0.9832
"125",6,7,9,0.685
"126",6,8,9,0.8501
"127",6,9,9,0.9575
"128",7,8,9,0.7096
"129",7,9,9,0.8969
"130",8,9,9,0.7597
"131",0,1,10,0.7594
"132",0,2,10,0.8912
"133",0,3,10,0.9539
"134",0,4,10,0.9826
"135",0,5,10,0.9949
"136",0,6,10,0.9978
"137",0,7,10,0.9994
"138",0,8,10,0.9999
"139",0,9,10,1
"140",0,10,10,1
"141",1,2,10,0.7072
"142",1,3,10,0.8492
"143",1,4,10,0.93
"144",1,5,10,0.9701
"145",1,6,10,0.9877
"146",1,7,10,0.9953
"147",1,8,10,0.9995
"148",1,9,10,0.9999
"149",1,10,10,1
"150",2,3,10,0.6726
"151",2,4,10,0.8202
"152",2,5,10,0.9073
"153",2,6,10,0.9556
"154",2,7,10,0.9881
"155",2,8,10,0.9957
"156",2,9,10,0.9989
"157",2,10,10,0.9996
